Π中間子 	パイちゅうかんし	 pion (physics)
と考えられる 	とかんがえられる	 one can think that ..., it is conceivable that...
と言う訳だ 	というわけだ	 this is why, this means
と言えば 	といえば	 speaking of
と言われる 	といわれる	 to be called ..., to be referred to as ...
ど 	度	 counter for occurrences do 2  
どあい 	度合	 degree, extent
どうあげ 	胴上げ	 lifting a person high, carry someone on shoulders (vs)
どうい 	同位	 the same rank, the same digit doui 2  
どういぎ 	同意義	 the same meaning
どういけん 	同意見	 the same opinion
どういげんそ 	同位元素	 isotope
どういご 	同意語	 synonym
どういたい 	同位体	 isotope
どういたしまして 	どう致しまして	 you are welcome, don't mention it
どういつ 	同一	 identity (a-no), sameness, similarity, equality, fairness
どういつし 	同一視	 class with (vs), put on par with, regard in the same light as
どういつにん 	同一人	 the same person
どういん 	動員	 mobilization (vs) douin 2  
どういんれい 	動員令	 mobilization order
どうおん 	同音	 the same sound, one voice
どうおんいぎご 	同音異義語	 homonym
どうおんご 	同音語	 homonym
どうか 	同化	 assimilation (vs), absorption, adaptation douka 2  
どうかく 	同格	 the same rank, equality, apposition
どうかさよう 	同化作用	 assimilation, metabolism, anabolism
どうかせん 	導火線	 fuse
どうかっしゃ 	動滑車	 movable pulley
どうかつ 	恫喝	 intimidation, threat, bluster
どうかん 	同感	 agreement, same opinion, same feeling, sympathy, concurrence doukan 2  
どうが 	動画	 moving image douga 2  
どうがく 	同学	 the same school dougaku 2  
どうがくねん 	同学年	 same year in school
どうがながい 	胴が長い	 having a long body
どうがん 	童顔	 child-faced
どうき 	動機	 motive, incentive douki 2  
どうきしき 	同期式	 synchronization
どうきしんごう 	同期信号	 synchronous idle (SYN)
どうきせい 	同期生	 classmate
どうきつうしん 	同期通信	 synchronous communication
どうきゅう 	同級	 the same grade, same class
どうきゅうせい 	同級生	 classmate(s)
どうきょ 	同居	 living together (vs)
どうきょう 	同郷	 same village, same town, same province doukyou 2  
どうきょく 	同局	 the said bureau, the same bureau
どうきょにん 	同居人	 person living with the family
どうきん 	同衾	 sharing the bed
どうぎ 	動議	 a motion dougi 2  
どうぎご 	同義語	 synonym
どうぎょう 	同業	 same trade, same business dougyou 2  
どうぎょうくみあい 	同業組合	 trade association, craft, guild
どうぎょうしゃ 	同業者	 person in the same business, the profession, the trade
どうくつ 	洞窟	 cave
どうくん 	同訓	 kun homophone
どうぐ 	道具	 implement, tool, means
どうけ 	同家	 the said family, the same family douke 2  
どうけい 	同型	 same type, same pattern doukei 2  
どうけつ 	同穴	 being buried in the same grave douketsu 2  
どうけやくしゃ 	道化役者	 clown
どうけん 	同権	 the same rights, equal rights douken 2  
どうげつ 	同月	 the same month
どうこう 	動向	 trend, tendency, movement, attitude doukou 2  
どうこういきょく 	同工異曲	 equal workmanship but different style
どうこうかい 	同好会	 association of like-minded people
どうこうしゃ 	同好者	 people of similar tastes doukousha 2  
どうこうひょう 	動向表	 In-Out Board (in office)
どうこく 	同国	 the same country, the same province, the said country doukoku 2  
どうこくみん 	同国民	 fellow countrymen
どうこん 	同根	 same root, same origin
どうごはんぷく 	同語反復	 tautology
どうさ 	動作	 action, movements, motions, bearing, behaviour, manners
どうさきろく 	動作記録	 audit trail, history
どうさつ 	洞察	 discernment, insight
どうさん 	動産	 personal property, personal effects
どうざ 	同坐	 sitting together, the same theater, involvement, entanglement, implication douza 2  
どうざい 	同罪	 the same offense
どうざん 	銅山	 copper mine
どうし 	動詞	 verb doushi 2  
どうしうち 	同士打ち	 killing each other by mistake doushiuchi 2  
どうしかい 	同志会	 association of kindred spirits
どうしじょうめいし 	動詞状名詞	 gerund
どうしつ 	同室	 the same room doushitsu 2  
どうしつてき 	同質的	 homogeneous
どうして 	如何して	 (uk) why?, for what reason, how, in what way, for what purpose, what for
どうしてき 	同志的	 companionable
どうしゃ 	同社	 the same firm dousha 2  
どうしゅ 	同種	 same kind (race), homogeneousness
どうしゅう 	同宗	 the same sect doushuu 2  
どうしゅく 	同宿	 lodging in the same hotel
どうしゅつ 	導出	 derivation
どうしゅどうぶん 	同種同文	 same race and same language
どうしゅみ 	同趣味	 the same interests
どうしゅるい 	同種類	 the same kind
どうしょ 	同処	 the same place dousho 2  
どうしょう 	同省	 the said ministry, the same ministry
どうしょく 	同職	 the same occupation, the said occupation doushoku 2  
どうしょくぶつ 	動植物	 plants and animals, flora and fauna
どうしん 	同信	 the same faith doushin 2  
どうしんえん 	同心円	 concentric circles
どうじ 	同事	 the same event, no change (on the stock market) douji 2  
どうじく 	動軸	 driving axle
どうじくケーブル 	同軸ケーブル	 coaxial cable
どうじだい 	同時代	 the same age, same period
どうじつ 	同日	 the same day
どうじに 	同時に	 coincident with, on the other hand, while
どうじょう 	仝	 "as above" mark doujou 2  
どうじょうしゃ 	同情者	 sympathizer
どうじょうしん 	同情心	 sympathy, compassion
どうじる 	動じる	 to be perturbed, to be agitated doujiru 2  
どうじん 	同人	 literary group (coterie), same person, said person, clique, fraternity, kindred spirits, comrade, colleague doujin 2  
どうじんきょうかい 	同仁教会	 Universalist Church
どうじんざっし 	同人雑誌	 magazine of a society
どうじんしゅ 	同人種	 racial identity, same race
どうすう 	同数	 same number
どうずる 	動ずる	 to be perturbed, to be agitated douzuru 2  
どうせい 	動勢	 state, condition, movements dousei 2  
どうせいあい 	同性愛	 homosexual love
どうせき 	同席	 sit with (vs), be with
どうせつ 	同説	 the same opinion
どうせん 	同船	 the same ship, taking the same ship dousen 2  
どうせんのひと 	同船の人	 fellow voyager
どうぜい 	同勢	 party, company
どうぜん 	同前	 same as above, ditto, ibid. douzen 2  
どうそ 	同祖	 common ancestor
どうそう 	同相	 the said (cabinet) minister dousou 2  
どうそうかい 	同窓会	 graduate's association, alumni meeting, class reunion
どうそうせい 	同窓生	 alumni, alumnus, schoolmate
どうそたい 	同素体	 allotrope
どうそん 	同村	 same village, that village
どうぞ 	何卒	 (uk) please, kindly, by all means
どうぞう 	銅像	 bronze statue
どうぞく 	同族	 same family (race, tribe)
どうぞくかい 	同族会	 family council, family company
どうぞくがいしゃ 	同族会社	 family corporation, affiliated concern
どうぞよろしく 	どうぞ宜しく	 pleased to meet you (uk) (id)
どうぞ宜しく 	どうぞよろしく	 pleased to meet you (uk) (id)
どうたい 	動体	 moving body doutai 2  
どうたいに 	同体に	 as one, together
どうだん 	同断	 the same, ditto
どうち 	同値	 equivalence, equal value, equivalent (a-no) douchi 2  
どうちせい 	同値性	 equivalency, equivalancy property
どうちょう 	同町	 the same town, that town douchou 2  
どうちょうしゃ 	同調者	 fellow traveler, sympathizer
どうつう 	導通	 conduction
どうつうていこう 	導通抵抗	 resistance (to conduction)
どうてい 	同定	 identification doutei 2  
どうていど 	同程度	 same level, same extent
どうてき 	動的	 dynamic, kinetic
どうてん 	動天	 heaven-shaking event douten 2  
どうでん 	導電	 conduction
どうでんせい 	導電性	 conductivity
どうでんたい 	導電体	 conductor (elec)
どうでんど 	導電度	 conductivity
どうでんりつ 	導電率	 conductivity
どうとう 	同党	 the same political party doutou 2  
どうとく 	道徳	 morals
どうどう 	同道	 going with (vs), accompanying doudou 2  
どうどうと 	堂々と	 without apology, without hesitation doudouto 2  
どうどうめぐり 	堂々巡り	 going around in circles doudoumeguri 2  
どうにいる 	堂に入る	 to become an expert, to be master at
どうにゅう 	導入	 introduction (vs), bringing in, leading in
どうにん 	同人	 same person, said person, clique, fraternity, kindred spirits, comrade, colleague
どうねん 	同年	 that year, same year, same age
どうねんぱい 	同年輩	 persons of the same age
どうねんぱいのひと 	同年輩の人	 contemporary, person of the same age
どうは 	同派	 the same sect
どうはい 	同輩	 fellows, comrade, colleague, one's equal
どうはく 	銅箔	 copper foil (used in copper plating)
どうはん 	同伴	 company, accompany (vs), going with douhan 2  
どうはんが 	銅版画	 copperplate engraving, etching
どうはんしゃ 	同伴者	 companion
どうひつ 	同筆	 the same handwriting
どうびょう 	同病	 the same sickness
どうびょうあいあわれむ 	同病相憐れむ	 Fellow sufferers pity each other (id)
どうふう 	同封	 enclosure (e.g. in a letter) (vs)
どうふく 	同腹	 born of the same mother, kindred spirits
どうふくし 	同腹仔	 litter
どうふぼ 	同父母	 the same parents
どうぶつ 	動物	 animal
どうぶつあい 	動物愛	 love for animals
どうぶつえん 	動物園	 zoo, zoological gardens
どうぶつか 	動物化	 animalization
どうぶつかい 	動物界	 animal kingdom
どうぶつがく 	動物学	 zoology
どうぶつし 	動物誌	 fauna
どうぶつしつ 	動物質	 animal matter
どうぶつすうはい 	動物崇拝	 zoolatry
どうぶつそう 	動物相	 fauna
どうぶつゆし 	動物油脂	 animal fat
どうぶん 	同文	 same script, same language
どうぶんつうたつ 	同文通達	 (Papal) encyclical
どうぶんどうしゅ 	同文同種	 same race and same script
どうぶんぼ 	同分母	 common denominator
どうほう 	同胞	 brethren, brothers, fellow countrymen, fellowman douhou 2  
どうほうあい 	同胞愛	 brotherly love
どうぼう 	同朋	 companions doubou 2  
どうまわり 	胴回り	 waist, girth, measurement around waist
どうみゃく 	動脈	 artery
どうみゃくけつ 	動脈血	 arterial blood
どうみゃくこうか 	動脈硬化	 arteriosclerosis, hardening of the arteries
どうみゃくこうかしょう 	動脈硬化症	 arteriosclerosis, hardening of the arteries
どうめい 	同名	 alliance, league, union, same name doumei 2  
どうめいいじん 	同名異人	 namesake, person with the same name
どうめいきゅうこう 	同盟休校	 student strike
どうめいぐん 	同盟軍	 allied armies
どうめいこく 	同盟国	 ally (of another nation)
どうめいし 	動名詞	 gerund
どうめいじょうやく 	同盟条約	 treaty of alliance
どうめいたいぎょう 	同盟怠業	 go-slow strike
どうめいひぎょう 	同盟罷業	 strike
どうもう 	獰猛	 ferocity
どうもん 	同門	 fellow student
どうや 	同夜	 the same night, that night
どうやく 	同役	 colleague
どうよう 	動揺	 disturbance (vs), unrest, shaking, trembling, pitching, rolling, oscillation, agitation, excitement, commotion douyou 2  
どうように 	同様に	 identically, in the (exact) same way, similarly
どうらく 	道楽	 hobby, pastime, dissipation, dissipated (an)
どうらん 	動乱	 disturbance, agitation, commotion, upheaval, riot douran 2  
どうり 	道理	 reason, truth
どうりきがく 	動力学	 dynamics
どうりで 	道理で	 indeed (id), it's no wonder
どうりゅう 	同流	 the same style, same school, common origin
