嗚呼	ああ	Ah!, Oh!, Alas!		[sound:SPXJ00001.mp3]
嘴	くちばし	beak, bill		[sound:SPXJ20848.mp3]
朽ちる	くちる	to rot	【自上一】  腐朽; 腐坏; 埋没一生	[sound:SPXJ20896.mp3]
くっきり	くっきり	distinctly, clearly, boldly	【副】  【自サ】  特别鲜明; 清楚	[sound:SPXJ20910.mp3]
屈折	くっせつ	bending, indentation, refraction	【名】  【自サ】  曲折; 歪曲; 不正常	[sound:SPXJ20937.mp3]
くっ付く	くっつく	to adhere to, to keep close to		
くっ付ける	くっつける	to attach		
覆す	くつがえす	to overturn, to upset, to overthrow, to undermine	【他五】  弄翻; 翻转; 推翻; 打倒; 彻底改变	[sound:SPXJ20905.mp3]
諄い	くどい	verbose, importunate, heavy (taste)		
国境	くにざかい	national or state border	【名】  国境; 边境	[sound:SPXJ21005.mp3]
首飾り	くびかざり	necklace	【名】  项链	[sound:SPXJ21035.mp3]
首輪	くびわ	necklace, choker	【名】  项圈; 项链; (动物的)脖子套	[sound:SPXJ21068.mp3]
組み合わせ	くみあわせ	combination	【名】  配合; 组成; 编组; 组合(数)	[sound:SPXJ21123.mp3]
組み合わせる	くみあわせる	to join together, to combine, to join up	【他下一】  交叉在一起; 配合; 编组	[sound:SPXJ21124.mp3]
組み込む	くみこむ	to insert, to include, to cut in (printing)	【他五】  编入; 入伙; 排入	[sound:SPXJ21151.mp3]
蔵	くら	warehouse, cellar, magazine, granary, godown, depository, treasury, elevator	【名】  收藏	[sound:SPXJ21244.mp3]
苦しめる	くるしめる	to torment, to harass, to inflict pain	【他下一】  欺负; 折磨; 使操心	[sound:SPXJ21473.mp3]
包む	くるむ	to be engulfed in, to be enveloped by, to wrap up, to tuck in, to pack, to do up, to cover with, to dress i	【他五】  包; 裹; 蒙; 蔽; 遮; 隐藏; 藏在心里; 包围	[sound:SPXJ48802.mp3]
呉れ呉れも	くれぐれも	repeatedly, sincerely, earnestly		
呉れる	くれる	to give, to let one have, to do for one, to be given	【他下一】  给(我)  【補動】  【下一型】  表示主语所表现的主体给说话者做某事	[sound:SPXJ21555.mp3]
玄人	くろうと	expert, professional, geisha, prostitute	【名】  内行; 专家; 妓女; 艺妓	[sound:SPXJ21577.mp3]
黒字	くろじ	balance (figure) in the black	【名】  黑色的字; 盈余	[sound:SPXJ21608.mp3]
君主	くんしゅ	ruler, monarch	【名】  君主; 国王; 皇帝	[sound:SPXJ21771.mp3]
愚痴	ぐち	idle complaint, grumble	【形動】  愚痴; 无知; 牢骚; 抱怨	[sound:SPXJ20769.mp3]
ぐっと	ぐっと	firmly, fast, much, more	【副】  使劲; 一口气地...; 更加; ...得多; 哑口无言; 深受感动	[sound:SPXJ20949.mp3]
ぐらい	ぐらい	approximately		
群	ぐん	group (math)	【名】  群; 族; 类	[sound:SPXJ21726.mp3]
軍艦	ぐんかん	warship, battleship	【名】  军舰	[sound:SPXJ21744.mp3]
群集	ぐんしゅう	(social) group, crowd, throng, mob, multitude	【名】  【自サ】  群集; 聚集; 人群; 群众; 群落	[sound:SPXJ21775.mp3]
軍事	ぐんじ	military affairs	【名】  军; 军事	[sound:SPXJ21766.mp3]
軍備	ぐんび	armaments, military preparations	【名】  军备	[sound:SPXJ21834.mp3]
軍服	ぐんぷく	military or naval uniform	【名】  军服	[sound:SPXJ21840.mp3]
刑	けい	penalty, sentence, punishment	【名】  刑罚	[sound:SPXJ21889.mp3]
頃	けい	time, about, toward, approximately (time)	【名】  时候; 时期; 时机	[sound:SPXJ27291.mp3]
傾	けい	lean, incline		
系	けい	system, lineage, group	【名】  连系; 线索(同いとすじ); 血统(同ちすじ); 系统; 派系; 党派; (数)系; 系论; (地质)系	
経過	けいか	passage, expiration, progress	【名】  【自サ】  流逝; 过去; 经过; 过程	[sound:SPXJ21917.mp3]
軽快	けいかい	rhythmical (e.g. melody), casual (e.g. dress), light, nimble	【名】  【形動】  轻快; 舒畅; 轻便  【名】  【自サ】  痊愈	[sound:SPXJ21922.mp3]
警戒	けいかい	warning, admonition, vigilance	【名】  【他サ】  警戒; 防范; 小心; 谨慎	[sound:SPXJ21921.mp3]
計器	けいき	meter, gauge	【名】  计量仪器	[sound:SPXJ21944.mp3]
契機	けいき	opportunity, chance	【名】  契机; 转机; 起因	[sound:SPXJ21942.mp3]
敬具	けいぐ	Sincerely yours	【名】  谨具; 敬启	[sound:SPXJ21962.mp3]
軽減	けいげん	abatement	【名】  【自他サ】  减轻	[sound:SPXJ21971.mp3]
掲載	けいさい	appearance (e.g. article in paper)	【名】  【他サ】  登载	[sound:SPXJ22007.mp3]
傾斜	けいしゃ	inclination, slant, slope, bevel, list, dip	【名】  【自サ】  倾斜; 倾向	[sound:SPXJ22081.mp3]
形成	けいせい	formation	【名】  【他サ】  形成	[sound:SPXJ22133.mp3]
形勢	けいせい	condition, situation, prospects	【名】  形势; 局势	[sound:SPXJ22132.mp3]
軽率	けいそつ	rash, thoughtless, careless, hasty	【形動】  轻率; 草率	[sound:SPXJ22160.mp3]
携帯	けいたい	carrying something	【名】  【他サ】  携带	[sound:SPXJ22165.mp3]
形態	けいたい	form, shape, figure	【名】  形态; 样子	[sound:SPXJ22164.mp3]
刑罰	けいばつ	judgement, penalty, punishment	【名】  刑罚	[sound:SPXJ22219.mp3]
経費	けいひ	expenses, cost, outlay	【名】  经费; 开支	[sound:SPXJ22224.mp3]
警部	けいぶ	police inspector	【名】  警部(日本警察职级之一, 位于警视之下)	[sound:SPXJ22233.mp3]
軽蔑	けいべつ	scorn, disdain	【名】  【他サ】  轻蔑; 轻视	[sound:SPXJ22245.mp3]
経歴	けいれき	personal history, career	【名】  经历; 阅历; 履历	[sound:SPXJ22305.mp3]
経路	けいろ	course, route, channel	【名】  途径; 路线	[sound:SPXJ22309.mp3]
汚す	けがす	to disgrace, to dishonour	【他五】  弄脏; 搀和; 拌和	[sound:SPXJ22355.mp3]
汚らわしい	けがらわしい	filthy, unfair	【形】  污秽的; 讨厌的	[sound:SPXJ22360.mp3]
汚れ	けがれ	uncleanness, impurity, disgrace	【名】  污秽; 不纯洁; 丑恶; 身体不洁(产期; 丧期等); 月经	[sound:SPXJ22361.mp3]
汚れる	けがれる	to get dirty, to become dirty	【自下一】  污染; 失去贞操; 身体不干净	[sound:SPXJ22363.mp3]
獣	けだもの	beast, brute	【名】  兽; 畜生	[sound:SPXJ22911.mp3]
吝嗇	けち	stinginess, miser, miserliness, skinflint, tightwad, niggard, pinching pennies		[sound:SPXJ22586.mp3]
結核	けっかく	tuberculosis, tubercule	【名】  结核(医); 凝岩(矿)	[sound:SPXJ22621.mp3]
血管	けっかん	blood vessel	【名】  血管	[sound:SPXJ22632.mp3]
決行	けっこう	doing (with resolve), carrying out (i.e. a plan)	【名】  【他サ】  断然实行	[sound:SPXJ22670.mp3]
決算	けっさん	balance sheet, settlement of accounts	【名】  【自他サ】  决算; 清帐	[sound:SPXJ22686.mp3]
決勝	けっしょう	decision of a contest, finals (in sports)	【名】  决胜负	[sound:SPXJ22709.mp3]
結晶	けっしょう	crystal, crystallization	【名】  【自サ】  结晶; 成果	[sound:SPXJ22708.mp3]
結成	けっせい	formation	【名】  【他サ】  结成; 组成	[sound:SPXJ22728.mp3]
結束	けっそく	union, unity	【名】  【自他サ】  捆束; 捆扎; 穿戴; 打扮; 团结	[sound:SPXJ22747.mp3]
傑	けつ	excellence		
決意	けつい	decision, determination	【名】  【自他サ】  决心; 决意	[sound:SPXJ22601.mp3]
決議	けつぎ	resolution, vote, decision	【名】  【他サ】  决议; 决定	[sound:SPXJ22638.mp3]
結合	けつごう	combination, union	【名】  【自他サ】  结合	[sound:SPXJ22667.mp3]
決断	けつだん	decision, determination	【名】  【自他サ】  决断; 果断; 裁断	[sound:SPXJ22754.mp3]
欠乏	けつぼう	want, shortage, famine	【名】  【自サ】  缺乏; 不足	[sound:SPXJ22800.mp3]
蹴飛ばす	けとばす	to kick away, to kick off, to kick (someone), to refuse, to reject	【他五】  踢; 踢开; 踢倒; 拒绝	
貶す	けなす	to speak ill of		[sound:SPXJ22847.mp3]
煙たい	けむたい	smoky, feeling awkward	【形】  烟雾弥漫的; (由于自己理亏觉得对方)不易亲近的; 局促不安的	[sound:SPXJ22901.mp3]
煙る	けむる	to smoke (e.g. fire)	【自五】  冒烟; 模糊不清	[sound:SPXJ22910.mp3]
家来	けらい	retainer, retinue, servant	【名】  家臣; 臣下; 随从	[sound:SPXJ22922.mp3]
けれど	けれど	but, however	【接】  【接助】  (表示转折或反转)然而; 但是	
圏	けん	sphere, circle, range	【造語】  圈; 范围	
権	けん	authority, the right (to do something)	【名】  权力; 权限	[sound:SPXJ22959.mp3]
権威	けんい	authority, power, influence	【名】  权威; 势力; 威信; 专家	[sound:SPXJ22981.mp3]
兼業	けんぎょう	side line, second business	【名】  【他サ】  兼营; 兼业	[sound:SPXJ23109.mp3]
権限	けんげん	power, authority, jurisdiction	【名】  权限	[sound:SPXJ23141.mp3]
健在	けんざい	in good health, well	【名】  【形動】  健在	[sound:SPXJ23188.mp3]
懸賞	けんしょう	offering prizes, winning, reward	【名】  悬赏; 赏品	[sound:SPXJ23329.mp3]
検事	けんじ	public prosecutor	【名】  检查官	[sound:SPXJ23238.mp3]
健全	けんぜん	health, soundness, wholesome	【形動】  (身心)健康; 健全; (制度)坚实; 稳固	[sound:SPXJ23434.mp3]
見地	けんち	point of view	【名】  观点; 立场; 查看土地	[sound:SPXJ23502.mp3]
賢明	けんめい	wisdom, intelligence, prudence	【形動】  贤明; 明智	[sound:SPXJ23708.mp3]
倹約	けんやく	thrift, economy, frugality	【名】  【他サ】  【形動】  节约; 节省	[sound:SPXJ23724.mp3]
兼用	けんよう	multi-use, combined use, combination, serving two purposes	【名】  【他サ】  兼用	[sound:SPXJ23730.mp3]
権力	けんりょく	power, authority, influence	【名】  权力	[sound:SPXJ23749.mp3]
劇団	げきだん	troupe, theatrical company	【名】  剧团	[sound:SPXJ22397.mp3]
激励	げきれい	encouragement	【名】  【他サ】  激励; 鼓舞	[sound:SPXJ22426.mp3]
月謝	げっしゃ	monthly tuition fee	【名】  学费; 月酬	[sound:SPXJ22697.mp3]
げっそり	げっそり	being disheartened, losing weight	【副】  【自サ】  突然减少; 急剧消瘦; (骤然)灰心; 失望	[sound:SPXJ22749.mp3]
月賦	げっぷ	monthly installment	【名】  按月分配; 按月分期付款	[sound:SPXJ22790.mp3]
下痢	げり	diarrhoea	【名】  【自サ】  腹泻	[sound:SPXJ22928.mp3]
原	げん	original, primitive, primary, fundamental, raw	【名】  平原; 平地; 荒原; 荒地	[sound:SPXJ61331.mp3]
原形	げんけい	original form, base form	【名】  原形; 旧观	[sound:SPXJ23130.mp3]
現行	げんこう	present, current, in operation	【名】  现行; 现在实行	[sound:SPXJ23161.mp3]
原作	げんさく	original work	【名】  原作; 原著	[sound:SPXJ23206.mp3]
原子	げんし	atom	【名】  原子	[sound:SPXJ23244.mp3]
元首	げんしゅ	ruler, sovereign	【名】  元首	[sound:SPXJ23294.mp3]
原書	げんしょ	original document	【名】  原版; 原文书	[sound:SPXJ23327.mp3]
減少	げんしょう	decrease, reduction, decline	【名】  【自他サ】  减少	[sound:SPXJ23340.mp3]
現場	げんじょう	actual spot, scene, scene of the crime	【名】  现场; 工地	[sound:SPXJ23343.mp3]
元素	げんそ	chemical element	【名】  元素	[sound:SPXJ23442.mp3]
原則	げんそく	principle, general rule	【名】  原则	[sound:SPXJ23461.mp3]
現像	げんぞう	developing (film)	【名】  【他サ】  显影; 冲洗	[sound:SPXJ23452.mp3]
現地	げんち	actual place, local	【名】  现场; 地点; 当地; 现住地方	[sound:SPXJ23507.mp3]
限定	げんてい	limit, restriction	【名】  【他サ】  限定; 限制	[sound:SPXJ23540.mp3]
原点	げんてん	origin (coordinates), starting point	【名】  基准点; 原点; 出发点	[sound:SPXJ23557.mp3]
原典	げんてん	original (text)	【名】  原著	[sound:SPXJ23555.mp3]
減点	げんてん	subtract, give a demerit	【名】  【他サ】  扣分	[sound:SPXJ23554.mp3]
原爆	げんばく	atomic bomb	【名】  原子弹	[sound:SPXJ23615.mp3]
原文	げんぶん	the text, original	【名】  原文	[sound:SPXJ23666.mp3]
厳密	げんみつ	strict, close	【形動】  周密	[sound:SPXJ23703.mp3]
原油	げんゆ	crude oil	【名】  原油	[sound:SPXJ23725.mp3]
言論	げんろん	discussion	【名】  言论	[sound:SPXJ23764.mp3]
故	こ	the late (deceased)	【名】  理由; 缘故; (某种)情况  【接助】  (接在体言下表示理由, 原因)因为	[sound:SPXJ77632.mp3]
戸	こ	counter for houses	【名】  【接尾】  户(助数词)	[sound:SPXJ51163.mp3]
児	こ	child, the young of animals	【名】  子女; 小孩; 姑娘; 小东西; 利息; 卵; 新股	
巨	こ	big, large, great		
恋する	こいする	to fall in love with, to love	【他サ】  恋爱	[sound:SPXJ23826.mp3]
溝	こう	10^38, hundred undecillion (American), hundred sextillion (British)	【名】  水沟; 水路; (拉门门框上的)沟; 槽; (感情的)隔阂	[sound:SPXJ53531.mp3]
校	こう	-school, proof	【名】  校对; 学校	
好意	こうい	good will, favor, courtesy	【名】  好意; 美意	[sound:SPXJ23962.mp3]
行為	こうい	act, deed, conduct	【名】  行为; 举动	[sound:SPXJ23957.mp3]
行員	こういん	bank clerk		[sound:SPXJ23980.mp3]
交易	こうえき	trade, commerce	【名】  【自サ】  交易; 贸易	[sound:SPXJ24000.mp3]
公演	こうえん	public performance	【名】  【自他サ】  公演	[sound:SPXJ24006.mp3]
後悔	こうかい	regret, repentance	【名】  【他サ】  后悔; 懊悔	[sound:SPXJ24047.mp3]
公開	こうかい	presenting to the public	【名】  【他サ】  公开; 开放	[sound:SPXJ24048.mp3]
航海	こうかい	sail, voyage	【名】  【自サ】  航海; 航行	[sound:SPXJ24046.mp3]
工学	こうがく	engineering	【名】  工学	[sound:SPXJ24082.mp3]
皇居	こうきょ	Imperial Palace	【名】  皇宫	[sound:SPXJ24190.mp3]
好況	こうきょう	prosperous conditions, healthy economy	【名】  繁荣; 景气好	[sound:SPXJ24195.mp3]
抗議	こうぎ	protest, objection	【名】  【自サ】  抗议	[sound:SPXJ24153.mp3]
鉱業	こうぎょう	mining industry	【名】  矿业	[sound:SPXJ24197.mp3]
興業	こうぎょう	industrial enterprise	【名】  振兴工业	[sound:SPXJ24199.mp3]
高原	こうげん	tableland, plateau	【名】  高原; 学习高原停滞阶段(指学习上处于不进不退的阶段); 持续高水平状态	[sound:SPXJ24286.mp3]
煌々と	こうこうと	brilliantly, brightly		
考古学	こうこがく	archaeology	【名】  考古学	[sound:SPXJ24338.mp3]
交互	こうご	mutual, reciprocal, alternate	【名】  互相; 交替	[sound:SPXJ24314.mp3]
工作	こうさく	work, construction, handicraft, maneuvering	【名】  【他サ】  制作(机器等的); 修理; 工事(土木工程); 手工(小学生的); 活动; 工作	[sound:SPXJ24381.mp3]
耕作	こうさく	cultivation, farming	【名】  【他サ】  耕种	[sound:SPXJ24382.mp3]
鉱山	こうざん	mine (ore)	【名】  矿山	[sound:SPXJ24403.mp3]
講習	こうしゅう	short course, training	【名】  【他サ】  讲习; 学习	[sound:SPXJ24498.mp3]
交渉	こうしょう	negotiations, discussions, connection	【名】  【自サ】  交涉; 谈判; 关系	[sound:SPXJ24528.mp3]
高尚	こうしょう	high, noble, refined, advanced	【名】  【形動】  高尚; 高深	[sound:SPXJ24530.mp3]
行進	こうしん	march, parade	【名】  【自サ】  前进	[sound:SPXJ24578.mp3]
香辛料	こうしんりょう	spices	【名】  香辣调味料(指姜或胡椒等)	[sound:SPXJ24604.mp3]
口述	こうじゅつ	verbal statement	【名】  【他サ】  口述	[sound:SPXJ24512.mp3]
控除	こうじょ	subsidy, deduction	【名】  【他サ】  扣除(同さしひき)	[sound:SPXJ24524.mp3]
向上	こうじょう	elevation, rise, improvement, advancement, progress	【名】  【自サ】  向上; 提高	[sound:SPXJ24542.mp3]
降水	こうすい	rainfall, precipitation	【名】  降水(指雨, 雪等)	
洪水	こうずい	flood	【名】  洪水; 洪流	[sound:SPXJ24613.mp3]
公然	こうぜん	open (e.g. secret), public, official	【副】  【形動タルト】  公然; 公开	[sound:SPXJ24686.mp3]
抗争	こうそう	dispute, resistance	【名】  【自サ】  抗争; 反抗	[sound:SPXJ24705.mp3]
構想	こうそう	plan, plot, idea, conception	【名】  【他サ】  设想; 构思	[sound:SPXJ24700.mp3]
拘束	こうそく	restriction, restraint	【名】  【他サ】  拘束; 限制(同そくばく)	[sound:SPXJ24718.mp3]
後退	こうたい	retreat, backspace (BS)	【名】  【自サ】  后退; 倒退(同あとずさり)	[sound:SPXJ24737.mp3]
光沢	こうたく	brilliance, polish, lustre, glossy finish (of photographs)	【名】  光泽(同つや)	[sound:SPXJ24748.mp3]
公団	こうだん	public corporation	【名】  公营; 公团	[sound:SPXJ24751.mp3]
好調	こうちょう	favourable, promising, satisfactory, in good shape	【名】  【形動】  顺利; 情况良好	[sound:SPXJ24791.mp3]
口頭	こうとう	oral	【名】  口头	[sound:SPXJ24868.mp3]
